# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) ANODE(0-63)
4 1 2 7 2 0
4 1 3 0 2 0
4 1 3 1 2 20
4 1 3 2 2 0
4 1 3 3 2 19
4 1 3 4 2 0
4 1 3 5 2 28
4 1 3 6 2 0
4 1 3 7 2 27
4 1 4 0 2 0
4 1 4 1 2 41
4 1 4 2 2 0
4 1 4 3 2 42
4 1 4 4 2 0
4 1 4 5 2 33
4 1 4 6 2 0
4 1 4 7 2 34
4 1 5 0 2 35
4 1 5 1 2 0
4 1 5 2 2 36
4 1 5 3 2 0
4 1 5 4 2 43
4 1 5 5 2 0
4 1 5 6 2 44
4 1 5 7 2 0
4 1 6 0 2 57
4 1 6 1 2 0
4 1 6 2 2 58
4 1 6 3 2 0
4 1 6 4 2 0
4 1 6 5 2 0
4 1 6 6 2 49
4 1 6 7 2 50
4 1 7 0 2 51
4 1 7 1 2 52
4 1 7 2 2 0
4 1 7 3 2 0
4 1 7 4 2 0
4 1 7 5 2 59
4 1 7 6 2 0
4 1 7 7 2 60
5 0 0 0 1 14
5 0 0 1 1 13
5 0 0 2 1 0
5 0 0 3 1 0
5 0 0 4 1 0
5 0 0 5 1 6
5 0 0 6 1 0
5 0 0 7 1 5
5 0 1 0 1 8
5 0 1 1 1 0
5 0 1 2 1 7
5 0 1 3 1 0
5 0 1 4 1 0
5 0 1 5 1 0
5 0 1 6 1 16
5 0 1 7 1 15
5 0 2 0 1 30
5 0 2 1 1 0
5 0 2 2 1 29
5 0 2 3 1 0
5 0 2 4 1 22
5 0 2 5 1 0
5 0 2 6 1 21
5 0 2 7 1 0
5 0 3 0 1 0
5 0 3 1 1 24
5 0 3 2 1 0
5 0 3 3 1 23
5 0 3 4 1 0
5 0 3 5 1 32
5 0 3 6 1 0
5 0 3 7 1 31
5 0 4 0 1 0
5 0 4 1 1 45
5 0 4 2 1 0
5 0 4 3 1 46
5 0 4 4 1 0
5 0 4 5 1 37
5 0 4 6 1 0
5 0 4 7 1 38
5 0 5 0 1 39
5 0 5 1 1 0
5 0 5 2 1 40
5 0 5 3 1 0
5 0 5 4 1 47
5 0 5 5 1 0
5 0 5 6 1 48
5 0 5 7 1 0
5 0 6 0 1 61
5 0 6 1 1 0
5 0 6 2 1 62
5 0 6 3 1 0
5 0 6 4 1 0
5 0 6 5 1 0
5 0 6 6 1 53
5 0 6 7 1 54
5 0 7 0 1 55
5 0 7 1 1 56
5 0 7 2 1 0
5 0 7 3 1 0
5 0 7 4 1 0
5 0 7 5 1 63
5 0 7 6 1 0
5 0 7 7 1 64
5 1 0 0 1 10
5 1 0 1 1 9
5 1 0 2 1 0
5 1 0 3 1 0
5 1 0 4 1 0
5 1 0 5 1 2
5 1 0 6 1 0
5 1 0 7 1 1
5 1 1 0 1 4
5 1 1 1 1 0
5 1 1 2 1 3
5 1 1 3 1 0
5 1 1 4 1 0
