# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) PMT(A-D) ANODE(0-63)
4 1 0 1 2 D 5
4 1 0 2 2 D 14
4 1 0 3 2 D 6
4 1 0 4 2 D 15
4 1 0 5 2 D 7
4 1 0 6 2 D 16
4 1 0 7 2 D 8
4 1 1 0 2 D 24
4 1 1 1 2 D 32
4 1 1 2 2 D 23
4 1 1 3 2 D 31
4 1 1 4 2 D 22
4 1 1 5 2 D 30
4 1 1 6 2 D 21
4 1 1 7 2 D 29
4 1 2 0 2 D 1
4 1 2 1 2 D 9
4 1 2 2 2 D 2
4 1 2 3 2 D 10
4 1 2 4 2 D 3
4 1 2 5 2 D 11
4 1 2 6 2 D 4
4 1 2 7 2 D 12
4 1 3 0 2 D 20
4 1 3 1 2 D 28
4 1 3 2 2 D 27
4 1 3 3 2 D 19
4 1 3 4 2 D 26
4 1 3 5 2 D 18
4 1 3 6 2 D 25
4 1 3 7 2 D 17
4 1 4 0 2 A 26
4 1 4 1 2 A 25
4 1 4 2 2 A 18
4 1 4 3 2 A 17
4 1 4 4 2 A 10
4 1 4 5 2 A 9
4 1 4 6 2 A 2
4 1 4 7 2 A 1
4 1 5 0 2 A 3
4 1 5 1 2 A 4
4 1 5 2 2 A 11
4 1 5 3 2 A 12
4 1 5 4 2 A 19
4 1 5 5 2 A 20
4 1 5 6 2 A 28
4 1 5 7 2 A 27
4 1 6 0 2 A 57
4 1 6 1 2 A 58
4 1 6 2 2 A 49
4 1 6 3 2 A 50
4 1 6 4 2 A 41
4 1 6 5 2 A 42
4 1 6 6 2 A 33
4 1 6 7 2 A 34
4 1 7 0 2 A 36
4 1 7 1 2 A 35
4 1 7 2 2 A 44
4 1 7 3 2 A 43
4 1 7 4 2 A 52
4 1 7 5 2 A 51
4 1 7 6 2 A 60
4 1 7 7 2 A 59
5 0 0 0 1 D 37
5 0 0 1 1 D 45
5 0 0 2 1 D 38
5 0 0 3 1 D 46
5 0 0 4 1 D 39
5 0 0 5 1 D 47
5 0 0 6 1 D 40
5 0 0 7 1 D 48
5 0 1 0 1 D 64
5 0 1 1 1 D 56
5 0 1 2 1 D 63
5 0 1 3 1 D 55
5 0 1 4 1 D 62
5 0 1 5 1 D 54
5 0 1 6 1 D 61
5 0 1 7 1 D 53
5 0 2 0 1 D 41
5 0 2 1 1 D 33
5 0 2 2 1 D 42
5 0 2 3 1 D 34
5 0 2 4 1 D 43
5 0 2 5 1 D 35
5 0 2 6 1 D 36
5 0 2 7 1 D 44
5 0 3 0 1 D 52
5 0 3 1 1 D 60
5 0 3 2 1 D 51
5 0 3 3 1 D 59
5 0 3 4 1 D 50
5 0 3 5 1 D 58
5 0 3 6 1 D 49
5 0 3 7 1 D 57
5 0 4 0 1 A 30
5 0 4 1 1 A 29
5 0 4 2 1 A 21
5 0 4 3 1 A 22
5 0 4 4 1 A 13
5 0 4 5 1 A 14
5 0 4 6 1 A 5
5 0 4 7 1 A 6
5 0 5 0 1 A 8
5 0 5 1 1 A 7
5 0 5 2 1 A 16
5 0 5 3 1 A 15
5 0 5 4 1 A 24
5 0 5 5 1 A 23
5 0 5 6 1 A 32
5 0 5 7 1 A 31
5 0 6 0 1 A 62
5 0 6 1 1 A 61
5 0 6 2 1 A 54
5 0 6 3 1 A 53
5 0 6 4 1 A 46
5 0 6 5 1 A 45
5 0 6 6 1 A 38
5 0 6 7 1 A 37
5 0 7 0 1 A 39
5 0 7 1 1 A 40
5 0 7 2 1 A 47
5 0 7 3 1 A 48
5 0 7 4 1 A 55
5 0 7 5 1 A 56
5 0 7 6 1 A 63
5 0 7 7 1 A 64
5 1 0 0 1 D 13
5 1 0 1 1 D 5
5 1 0 2 1 D 14
5 1 0 3 1 D 6
5 1 0 4 1 D 15
5 1 0 5 1 D 7
5 1 0 6 1 D 16
5 1 0 7 1 D 8
5 1 1 0 1 D 24
5 1 1 1 1 D 32
5 1 1 2 1 D 23
5 1 1 3 1 D 31
5 1 1 4 1 D 22
5 1 1 5 1 D 30
5 1 1 6 1 D 21
5 1 1 7 1 D 29
5 1 2 0 1 D 1
5 1 2 1 1 D 9
5 1 2 2 1 D 2
5 1 2 3 1 D 10
5 1 2 4 1 D 3
5 1 2 5 1 D 11
5 1 2 6 1 D 4
5 1 2 7 1 D 12
5 1 3 0 1 D 20
5 1 3 1 1 D 28
5 1 3 2 1 D 27
5 1 3 3 1 D 19
5 1 3 4 1 D 26
5 1 3 5 1 D 18
5 1 3 6 1 D 25
5 1 3 7 1 D 17
5 1 4 0 1 A 26
5 1 4 1 1 A 25
5 1 4 2 1 A 18
5 1 4 3 1 A 17
5 1 4 4 1 A 10
5 1 4 5 1 A 9
5 1 4 6 1 A 2
5 1 4 7 1 A 1
5 1 5 0 1 A 3
5 1 5 1 1 A 4
5 1 5 2 1 A 11
5 1 5 3 1 A 12
5 1 5 4 1 A 19
5 1 5 5 1 A 20
5 1 5 6 1 A 28
5 1 5 7 1 A 27
5 1 6 0 1 A 57
5 1 6 1 1 A 58
5 1 6 2 1 A 49
5 1 6 3 1 A 50
5 1 6 4 1 A 41
5 1 6 5 1 A 42
5 1 6 6 1 A 33
5 1 6 7 1 A 34
5 1 7 0 1 A 36
5 1 7 1 1 A 35
5 1 7 2 1 A 44
5 1 7 3 1 A 43
5 1 7 4 1 A 52
5 1 7 5 1 A 51
5 1 7 6 1 A 60
5 1 7 7 1 A 59
6 0 0 0 1 C 39
6 0 0 1 1 C 40
6 0 0 2 1 C 47
6 0 0 3 1 C 48
6 0 0 4 1 C 55
6 0 0 5 1 C 56
6 0 0 6 1 C 63
6 0 0 7 1 C 64
6 0 1 0 1 C 62
6 0 1 1 1 C 61
6 0 1 2 1 C 54
6 0 1 3 1 C 53
6 0 1 4 1 C 46
6 0 1 5 1 C 45
6 0 1 6 1 C 38
6 0 1 7 1 C 37
6 0 2 0 1 C 8
6 0 2 1 1 C 7
6 0 2 2 1 C 16
6 0 2 3 1 C 15
6 0 2 4 1 C 24
6 0 2 5 1 C 23
6 0 2 6 1 C 32
6 0 2 7 1 C 31
6 0 3 0 1 C 30
6 0 3 1 1 C 29
6 0 3 2 1 C 21
6 0 3 3 1 C 22
6 0 3 4 1 C 13
6 0 3 5 1 C 14
6 0 3 6 1 C 5
6 0 3 7 1 C 6
6 0 4 0 1 B 52
6 0 4 1 1 B 60
6 0 4 2 1 B 51
6 0 4 3 1 B 59
6 0 4 4 1 B 50
6 0 4 5 1 B 58
6 0 4 6 1 B 49
6 0 4 7 1 B 57
6 0 5 0 1 B 41
6 0 5 1 1 B 33
6 0 5 2 1 B 42
6 0 5 3 1 B 34
6 0 5 4 1 B 43
6 0 5 5 1 B 35
6 0 5 6 1 B 36
6 0 5 7 1 B 44
6 0 6 0 1 B 64
6 0 6 1 1 B 56
6 0 6 2 1 B 63
6 0 6 3 1 B 55
6 0 6 4 1 B 62
6 0 6 5 1 B 54
6 0 6 6 1 B 61
6 0 6 7 1 B 53
6 0 7 0 1 B 37
6 0 7 1 1 B 45
6 0 7 2 1 B 38
6 0 7 3 1 B 46
6 0 7 4 1 B 39
6 0 7 5 1 B 47
6 0 7 6 1 B 40
6 0 7 7 1 B 48
6 1 0 0 1 C 36
6 1 0 1 1 C 35
6 1 0 2 1 C 44
6 1 0 3 1 C 43
6 1 0 4 1 C 52
6 1 0 5 1 C 51
6 1 0 6 1 C 60
6 1 0 7 1 C 59
6 1 1 0 1 C 57
6 1 1 1 1 C 58
6 1 1 2 1 C 49
6 1 1 3 1 C 50
6 1 1 4 1 C 41
6 1 1 5 1 C 42
6 1 1 6 1 C 33
6 1 1 7 1 C 34
6 1 2 0 1 C 3
6 1 2 1 1 C 4
6 1 2 2 1 C 11
6 1 2 3 1 C 12
6 1 2 4 1 C 19
6 1 2 5 1 C 20
6 1 2 6 1 C 28
6 1 2 7 1 C 27
6 1 3 0 1 C 26
6 1 3 1 1 C 25
6 1 3 2 1 C 18
6 1 3 3 1 C 17
6 1 3 4 1 C 10
6 1 3 5 1 C 9
6 1 3 6 1 C 2
6 1 3 7 1 C 1
6 1 4 0 1 B 20
6 1 4 1 1 B 28
6 1 4 2 1 B 27
6 1 4 3 1 B 19
6 1 4 4 1 B 26
6 1 4 5 1 B 18
6 1 4 6 1 B 25
6 1 4 7 1 B 17
6 1 5 0 1 B 1
6 1 5 1 1 B 9
6 1 5 2 1 B 2
6 1 5 3 1 B 10
6 1 5 4 1 B 3
6 1 5 5 1 B 11
6 1 5 6 1 B 4
6 1 5 7 1 B 12
6 1 6 0 1 B 24
6 1 6 1 1 B 32
6 1 6 2 1 B 23
6 1 6 3 1 B 31
6 1 6 4 1 B 22
6 1 6 5 1 B 30
6 1 6 6 1 B 21
6 1 6 7 1 B 29
6 1 7 0 1 B 13
6 1 7 1 1 B 5
6 1 7 2 1 B 14
6 1 7 3 1 B 6
6 1 7 4 1 B 15
6 1 7 5 1 B 7
6 1 7 6 1 B 16
6 1 7 7 1 B 8
7 0 0 0 2 C 39
7 0 0 1 2 C 40
7 0 0 2 2 C 47
7 0 0 3 2 C 48
7 0 0 4 2 C 55
7 0 0 5 2 C 56
7 0 0 6 2 C 63
7 0 0 7 2 C 64
7 0 1 0 2 C 62
7 0 1 1 2 C 61
7 0 1 2 2 C 54
7 0 1 3 2 C 53
7 0 1 4 2 C 46
7 0 1 5 2 C 45
7 0 1 6 2 C 38
7 0 1 7 2 C 37
7 0 2 0 2 C 8
7 0 2 1 2 C 7
7 0 2 2 2 C 16
7 0 2 3 2 C 15
7 0 2 4 2 C 24
7 0 2 5 2 C 23
7 0 2 6 2 C 32
7 0 2 7 2 C 31
7 0 3 0 2 C 30
7 0 3 1 2 C 29
7 0 3 2 2 C 21
7 0 3 3 2 C 22
7 0 3 4 2 C 13
7 0 3 5 2 C 14
7 0 3 6 2 C 5
7 0 3 7 2 C 6
7 0 4 0 2 B 52
7 0 4 1 2 B 60
7 0 4 2 2 B 51
7 0 4 3 2 B 59
7 0 4 4 2 B 50
7 0 4 5 2 B 58
7 0 4 6 2 B 49
7 0 4 7 2 B 57
7 0 5 0 2 B 41
7 0 5 1 2 B 33
7 0 5 2 2 B 42
7 0 5 3 2 B 34
7 0 5 4 2 B 43
7 0 5 5 2 B 35
7 0 5 6 2 B 36
7 0 5 7 2 B 44
7 0 6 0 2 B 64
7 0 6 1 2 B 56
7 0 6 2 2 B 63
7 0 6 3 2 B 55
7 0 6 4 2 B 62
7 0 6 5 2 B 54
7 0 6 6 2 B 61
7 0 6 7 2 B 53
7 0 7 0 2 B 37
7 0 7 1 2 B 45
7 0 7 2 2 B 38
7 0 7 3 2 B 46
7 0 7 4 2 B 39
7 0 7 5 2 B 47
7 0 7 6 2 B 40
7 0 7 7 2 B 48
7 1 0 0 2 C 36
7 1 0 1 2 C 35
7 1 0 2 2 C 44
7 1 0 3 2 C 43
7 1 0 4 2 C 52
7 1 0 5 2 C 51
7 1 0 6 2 C 60
7 1 0 7 2 C 59
7 1 1 0 2 C 57
7 1 1 1 2 C 58
7 1 1 2 2 C 49
7 1 1 3 2 C 50
7 1 1 4 2 C 41
7 1 1 5 2 C 42
7 1 1 6 2 C 33
7 1 1 7 2 C 34
7 1 2 0 2 C 3
7 1 2 1 2 C 4
7 1 2 2 2 C 11
7 1 2 3 2 C 12
7 1 2 4 2 C 19
7 1 2 5 2 C 20
7 1 2 6 2 C 28
7 1 2 7 2 C 27
7 1 3 0 2 C 26
7 1 3 1 2 C 25
